City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Vostok,RU,2022-01-26 04:17:30,46.4856,135.8833,12.4,84,100,4.09
200,Sampit,ID,2022-01-26 04:17:31,-2.5333,112.95,79.75,84,100,1.7
201,Hualmay,PE,2022-01-26 04:17:32,-11.0964,-77.6139,70.54,85,20,6.13
202,Oiba,CO,2022-01-26 04:17:32,6.2639,-73.2988,61.25,98,99,2.1
203,Nizwa,OM,2022-01-26 04:17:33,22.9333,57.5333,62.94,54,0,1.72
204,North Branch,US,2022-01-26 04:17:34,45.5113,-92.9802,-5.04,78,29,4.5
205,Havoysund,NO,2022-01-26 04:17:35,70.9963,24.6622,27.48,63,100,23.49
206,Matagami,CA,2022-01-26 04:17:35,49.7502,-77.6328,-21.89,69,0,6.91
207,Kuching,MY,2022-01-26 04:13:55,1.55,110.3333,77.22,100,40,6.91
208,Champerico,GT,2022-01-26 04:17:37,14.3,-91.9167,82.35,69,0,7.83
209,Airai,TL,2022-01-26 04:17:37,-8.9266,125.4092,74.91,55,100,5.88
210,Suez,EG,2022-01-26 04:17:38,29.9737,32.5263,48.7,53,11,6.35
211,Zhangjiakou,CN,2022-01-26 04:17:39,40.81,114.8794,18.34,50,100,4.43
212,Estelle,US,2022-01-26 04:17:39,29.8458,-90.1067,51.8,82,40,5.01
213,Scarborough,GB,2022-01-26 04:14:22,54.2797,-0.4044,42.08,91,72,1.01
214,Cherskiy,RU,2022-01-26 04:17:40,68.75,161.3,-43.64,99,58,4.81
215,Ladnun,IN,2022-01-26 04:17:41,27.65,74.3833,56.98,46,0,1.97
216,Kattivakkam,IN,2022-01-26 04:17:42,13.2167,80.3167,84.29,77,89,6.11
217,Tautira,PF,2022-01-26 04:13:35,-17.7333,-149.15,86.02,77,82,14.79
218,Houma,US,2022-01-26 04:16:34,29.5958,-90.7195,51.8,92,45,4.0
219,Parit Buntar,MY,2022-01-26 04:17:43,5.1267,100.4932,87.82,69,100,1.34
220,Raga,SS,2022-01-26 04:17:44,8.4596,25.678,66.2,25,98,4.23
221,Port Augusta,AU,2022-01-26 04:17:45,-32.5,137.7667,97.7,26,3,5.28
222,Lagos,NG,2022-01-26 04:15:01,6.5833,3.75,77.32,49,20,3.4
223,Fukue,JP,2022-01-26 04:17:46,32.6881,128.8419,52.16,66,40,13.8
224,Bethel,US,2022-01-26 04:15:51,41.3712,-73.414,29.55,69,0,1.01
225,Leh,IN,2022-01-26 04:18:47,34.1667,77.5833,0.18,87,100,2.91
226,Chiredzi,ZW,2022-01-26 04:18:48,-21.05,31.6667,70.54,95,100,13.0
227,Pudozh,RU,2022-01-26 04:18:49,61.8099,36.5345,-0.51,100,100,2.53
228,Khor,RU,2022-01-26 04:18:49,47.8861,134.9464,3.88,88,99,4.7
229,Ribeira Grande,PT,2022-01-26 04:18:50,38.5167,-28.7,59.86,80,100,6.6
230,Cayenne,GF,2022-01-26 04:18:51,4.9333,-52.3333,75.24,94,75,2.3
231,Oranjemund,NA,2022-01-26 04:18:52,-28.55,16.4333,63.28,93,38,13.06
232,Lata,PT,2022-01-26 04:18:52,40.1629,-8.3327,46.81,83,3,5.21
233,Keetmanshoop,NA,2022-01-26 04:18:53,-26.5833,18.1333,78.73,31,1,3.8
234,Beloha,MG,2022-01-26 04:18:53,-25.1667,45.05,71.62,61,0,9.84
235,Glushkovo,RU,2022-01-26 04:18:54,51.3392,34.6328,13.6,96,100,5.19
236,Porto Seguro,BR,2022-01-26 04:18:55,-16.4497,-39.0647,77.52,94,75,6.91
237,Mount Isa,AU,2022-01-26 04:18:56,-20.7333,139.5,80.37,78,75,20.71
238,Sawakin,SD,2022-01-26 04:18:56,19.1059,37.3321,70.68,73,100,15.23
239,Camacha,PT,2022-01-26 04:18:57,33.0833,-16.3333,58.42,59,40,17.27
240,Shu,KZ,2022-01-26 04:18:57,43.5983,73.7614,29.88,72,11,0.83
241,Tigre,AR,2022-01-26 04:18:58,-34.426,-58.5796,78.24,90,100,3.44
242,Xinzhi,CN,2022-01-26 04:18:59,36.4989,111.7047,36.75,67,100,0.54
243,Kangaba,ML,2022-01-26 04:18:59,11.9333,-8.4167,66.65,15,53,5.95
244,Puerto Del Rosario,ES,2022-01-26 04:19:00,28.5004,-13.8627,58.75,72,4,9.22
245,Santa Cruz,BO,2022-01-26 04:18:17,-17.8,-63.1667,78.26,89,100,8.05
246,Cameta,BR,2022-01-26 04:19:01,-2.2444,-49.4958,75.04,91,72,4.52
247,Bone,DE,2022-01-26 04:19:02,51.9669,12.1396,37.44,90,100,7.0
248,Peterhead,GB,2022-01-26 04:19:02,57.5058,-1.7981,43.45,86,100,9.4
249,Kashi,CN,2022-01-26 04:19:03,39.4547,75.9797,29.23,46,75,4.47
250,Praia Da Vitoria,PT,2022-01-26 04:19:03,38.7333,-27.0667,59.25,88,75,6.13
251,Manacapuru,BR,2022-01-26 04:19:04,-3.2997,-60.6206,75.78,94,100,5.06
252,Tuatapere,NZ,2022-01-26 04:19:05,-46.1333,167.6833,55.63,79,81,14.56
253,Shingu,JP,2022-01-26 04:19:05,33.7333,135.9833,56.39,50,53,12.82
254,Dingle,PH,2022-01-26 04:19:06,10.9995,122.6711,83.52,75,98,13.49
255,Calama,CL,2022-01-26 04:19:07,-22.4667,-68.9333,52.29,25,80,4.61
256,Port Macquarie,AU,2022-01-26 04:16:49,-31.4333,152.9167,72.9,69,99,6.85
257,Baiyin,CN,2022-01-26 04:19:08,36.5583,104.2081,29.28,44,98,5.26
258,Mokrous,RU,2022-01-26 04:19:09,51.2333,47.5167,10.24,97,100,4.54
259,Salinas,US,2022-01-26 04:14:58,36.6777,-121.6555,52.68,82,0,3.44
260,Provideniya,RU,2022-01-26 04:19:10,64.3833,-173.3,-8.64,64,75,6.71
261,Fortuna,US,2022-01-26 04:19:10,40.5982,-124.1573,43.14,92,5,3.15
262,Umm Lajj,SA,2022-01-26 04:17:18,25.0213,37.2685,61.02,59,0,11.9
263,Dalbandin,PK,2022-01-26 04:19:11,28.8947,64.4101,43.92,35,0,6.76
264,Havelock,US,2022-01-26 04:19:12,34.8791,-76.9013,49.95,91,75,0.0
265,Pafos,CY,2022-01-26 04:19:12,34.7667,32.4167,47.98,76,40,12.66
266,Nakasongola,UG,2022-01-26 04:19:13,1.3089,32.4564,66.47,52,48,1.59
267,Ascension,US,2022-01-26 04:19:14,30.2169,-90.9001,51.8,89,65,10.11
268,Bellevue,US,2022-01-26 04:15:27,47.6104,-122.2007,39.04,90,100,1.01
269,Falesti,MD,2022-01-26 04:19:15,47.5736,27.7092,32.47,97,100,12.82
270,Dali,CN,2022-01-26 04:19:15,25.7,100.1833,50.97,57,53,6.24
271,Tahta,EG,2022-01-26 04:19:16,26.7693,31.5021,43.75,50,0,3.31
272,Slave Lake,CA,2022-01-26 04:15:43,55.2834,-114.769,37.38,81,100,36.82
273,Tupsan,PH,2022-01-26 04:20:17,9.1992,124.7769,82.89,76,86,13.31
274,Sakakah,SA,2022-01-26 04:20:18,29.9697,40.2064,38.77,51,0,8.19
275,Mogadishu,SO,2022-01-26 04:20:18,2.0371,45.3438,74.43,75,33,17.07
276,Hobyo,SO,2022-01-26 04:20:19,5.3505,48.5268,75.83,63,26,16.69
277,Penzance,GB,2022-01-26 04:20:20,50.1186,-5.5371,38.08,74,27,4.63
278,Yerbogachen,RU,2022-01-26 04:20:20,61.2767,108.0108,-6.83,98,98,5.37
279,Kushiro,JP,2022-01-26 04:20:21,42.975,144.3747,29.35,74,75,3.44
280,Kruisfontein,ZA,2022-01-26 04:20:22,-34.0033,24.7314,65.88,92,100,8.88
281,Monte Patria,CL,2022-01-26 04:20:22,-30.6919,-70.9467,70.7,54,0,2.46
282,Khasan,RU,2022-01-26 04:20:23,42.4308,130.6434,27.63,49,2,19.91
283,Balsas,BR,2022-01-26 04:20:24,-7.5325,-46.0356,72.05,91,67,0.98
284,Port Said,EG,2022-01-26 04:20:24,31.2565,32.2841,53.47,67,23,20.98
285,Flin Flon,CA,2022-01-26 04:20:25,54.7682,-101.865,9.14,94,100,13.47
286,La Rioja,ES,2022-01-26 04:20:25,42.25,-2.5,33.12,70,0,4.76
287,Pisco,PE,2022-01-26 04:19:17,-13.7,-76.2167,67.01,88,0,9.22
288,Portland,US,2022-01-26 04:17:42,45.5234,-122.6762,41.16,76,20,8.01
289,Hay River,CA,2022-01-26 04:15:27,60.8156,-115.7999,10.38,85,75,6.91
290,Namatanai,PG,2022-01-26 04:20:27,-3.6667,152.4333,85.86,66,70,6.96
291,Arinos,BR,2022-01-26 04:20:28,-15.9169,-46.1056,68.16,93,12,1.43
292,Sorland,NO,2022-01-26 04:20:28,67.667,12.6934,33.87,97,100,25.57
293,Hirara,JP,2022-01-26 04:20:29,24.8,125.2833,73.26,73,40,13.8
294,Krasnovishersk,RU,2022-01-26 04:20:30,60.4078,57.082,3.79,96,99,7.58
