City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Olafsvik,IS,64.8945,-23.7142,27.73,56,100,29.15,light snow
325,Burns Lake,CA,54.2331,-125.7533,35.02,80,90,6.33,light snow
326,Fare,PF,-16.7,-151.0167,80.67,72,20,9.13,few clouds
327,Pacific Grove,US,36.6177,-121.9166,67.57,68,0,3.0,clear sky
328,Kato Khorion,GR,35.05,25.7833,51.19,81,15,1.99,few clouds
329,Bac Lieu,VN,9.285,105.7244,76.06,85,38,11.32,scattered clouds
330,Luderitz,NA,-26.6481,15.1594,64.76,87,65,9.51,broken clouds
331,Tomatlan,MX,19.9333,-105.25,85.41,39,1,8.37,clear sky
332,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.97,83,79,0.94,broken clouds
333,Willmar,US,45.1219,-95.0433,17.62,73,100,0.0,overcast clouds
334,Lagoa,PT,39.05,-27.9833,58.51,70,58,25.9,broken clouds
335,Mehamn,NO,71.0357,27.8492,30.15,86,75,21.85,light shower snow
336,Necochea,AR,-38.5473,-58.7368,66.04,63,77,22.32,broken clouds
337,Lichinga,MZ,-13.3128,35.2406,66.29,82,40,6.91,scattered clouds
338,Arman,RU,59.7,150.1667,6.94,76,100,14.99,overcast clouds
339,Abnub,EG,27.2696,31.1511,48.42,45,1,7.11,clear sky
340,Danane,CI,7.2596,-8.155,70.39,27,58,2.64,broken clouds
341,The Valley,AI,18.217,-63.0578,78.94,73,20,9.22,few clouds
342,Farcasa,RO,47.5833,23.3333,38.43,70,75,11.5,broken clouds
343,Saint-Francois,FR,46.4154,3.9054,38.64,93,100,0.0,overcast clouds
